"","GISJOIN2","ZIP_4","ZIP","Zip_short","State","GISJOIN","FIPS","ADI_NATRANK","ADI_STATERANK","TYPE","ATLAS_EPA_GIS_MATCH","OBJECTID","GEOID10","GEOID20","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","CSA","CSA_Name","CBSA","CBSA_Name","CBSA_POP","CBSA_EMP","CBSA_WRK","Ac_Total","Ac_Water","Ac_Land","Ac_Unpr","TotPop","CountHU","HH","P_WrkAge","AutoOwn0","Pct_AO0","AutoOwn1","Pct_AO1","AutoOwn2p","Pct_AO2p","Workers","R_LowWageWk","R_MedWageWk","R_HiWageWk","R_PCTLOWWAGE","TotEmp","E5_Ret","E5_Off","E5_Ind","E5_Svc","E5_Ent","E8_Ret","E8_off","E8_Ind","E8_Svc","E8_Ent","E8_Ed","E8_Hlth","E8_Pub","E_LowWageWk","E_MedWageWk","E_HiWageWk","E_PctLowWage","D1A","D1B","D1C","D1C5_RET","D1C5_OFF","D1C5_IND","D1C5_SVC","D1C5_ENT","D1C8_RET","D1C8_OFF","D1C8_IND","D1C8_SVC","D1C8_ENT","D1C8_ED","D1C8_HLTH","D1C8_PUB","D1D","D1_FLAG","D2A_JPHH","D2B_E5MIX","D2B_E5MIXA","D2B_E8MIX","D2B_E8MIXA","D2A_EPHHM","D2C_TRPMX1","D2C_TRPMX2","D2C_TRIPEQ","D2R_JOBPOP","D2R_WRKEMP","D2A_WRKEMP","D2C_WREMLX","D3A","D3AAO","D3AMM","D3APO","D3B","D3BAO","D3BMM3","D3BMM4","D3BPO3","D3BPO4","D4A","D4B025","D4B050","D4C","D4D","D4E","D5AR","D5AE","D5BR","D5BE","D5CR","D5CRI","D5CE","D5CEI","D5DR","D5DRI","D5DE","D5DEI","D2A_Ranked","D2B_Ranked","D3B_Ranked","D4A_Ranked","NatWalkInd","Shape_Length","Shape_Area"
"1","G08005900098351",800052293,"80005-2293",80005,"CO","G08005900098351",80590098351,"18","4",NA,"Match",57584,80590098351,80590098351,"08","059","009835",1,216,"Denver-Aurora, CO",19740,"Denver-Aurora-Lakewood, CO",2850221,1450715,1395732,242.3625988,14.7064036,227.6561952,214.91961,1990,730,730,0.618,0,0,155,0.212328767,575,0.787671233,1040,204,268,568,0.196153846,61,2,6,14,34,5,2,4,14,24,5,0,10,2,13,17,31,0.213114754,3.396618857,9.259276061,0.283827055,0.009305805,0.027917415,0.065140636,0.158198686,0.023264513,0.009305805,0.01861161,0.065140636,0.111669661,0.023264513,0,0.046529025,0.009305805,3.680445912,0,0.083561644,0.751063603,0.751063603,0.826891114,0.77379228,0.203649757,0.29031804,0.311509778,0.007381662,0.059483179,0.110808356,17.04918033,1.07e-07,31.09399605,2.451552768,0.196658628,28.44578465,194.983141,5.622513364,0,0,208.0329945,56.22513364,-99999,0,0,-99999,-99999,-99999,87143,82583,-99999,-99999,0.000451943,0.3919393,0.000511254,0.499918277,-99999,-99999,-99999,-99999,3,18,19,1,10.16666667,4319.220058,980826.6176
"2","G12007100502071",339676206,"33967-6206",33967,"FL","G12007100502131",120710502131,"31","3",NA,"No",70109,1.20711e+11,1.20711e+11,"12","071","050207",1,163,"Cape Coral-Fort Myers-Naples, FL",15980,"Cape Coral-Fort Myers, FL",718679,248981,267597,779.6286694,47.3769772,732.2516922,732.2516922,2537,1613,1145,0.515,10,0.008733624,472,0.412227074,663,0.579039301,936,218,262,456,0.232905983,343,85,12,82,83,81,85,12,82,66,81,0,17,0,99,147,97,0.288629738,2.2027945,3.464655701,0.468418173,0.116080305,0.016387808,0.111983353,0.113349004,0.110617703,0.116080305,0.016387808,0.111983353,0.090132943,0.110617703,0,0.023216061,0,2.671212673,0,0.299563319,0.925358242,0.925358242,0.89967125,0.775205481,0.492919927,0.629435277,0.677405975,0.576971111,0.238194444,0.536356529,2.728862974,0.177486102,13.78334682,1.762121374,0.476922891,11.54430255,30.31263736,1.748032833,3.496065666,0,36.70868949,3.496065666,-99999,0,0,2.67,2.333623832,0.001052424,20510,20248,-99999,-99999,0.001980289,0.392318139,0.002029812,0.575717941,-99999,-99999,-99999,-99999,10,18,7,1,7.333333333,8029.05995,3155115.535
"3","G17017700001001",610180237,"61018-0237",61018,"IL","G17017700001001",171770001001,"77","8",NA,"Match",85650,1.7177e+11,1.7177e+11,"17","177","000100",1,466,"Rockford-Freeport-Rochelle, IL",23300,"Freeport, IL",45433,16925,21245,27829.38027,0,27829.38027,27812.41503,1363,550,501,0.599,12,0.023952096,147,0.293413174,342,0.682634731,586,133,173,280,0.226962457,797,18,0,615,164,0,18,0,615,0,0,164,0,0,102,313,382,0.127979925,0.019775341,0.049006891,0.028656267,0.000647193,0,0.022112427,0.005896647,0,0.000647193,0,0.022112427,0,0,0.005896647,0,0,0.048431609,0,1.590818363,0.556123845,0.379613581,0.556123845,0.293811813,0.75168778,0.595070269,0.511050382,0.836366366,0.737962963,0.847433116,0.735257215,0.767403312,2.105355612,0.599106446,1.390069417,0.116179748,1.157912957,0.850899293,0.643923789,0.137983669,0.50594012,0.25297006,-99999,0,0,-99999,-99999,-99999,7951,9376,-99999,-99999,0.018139591,0.563501063,0.019199423,0.626737968,-99999,-99999,-99999,-99999,18,4,2,1,4.666666667,58280.64341,112623970.8
"4","G17020100036051",611031644,"61103-1644",61103,"IL","G17020100036051",172010036051,"91","10",NA,"Match",88391,1.7201e+11,1.7201e+11,"17","201","003605",1,466,"Rockford-Freeport-Rochelle, IL",40420,"Rockford, IL",339780,141325,153746,399.7304577,0,399.7304577,399.73046,1495,814,682,0.501,173,0.253665689,276,0.404692082,233,0.341642229,540,169,244,127,0.312962963,455,91,14,0,350,0,91,14,0,61,0,130,159,0,176,204,75,0.386813187,2.036372209,3.740020213,1.138267021,0.227653404,0.035023601,0,0.875590016,0,0.227653404,0.035023601,0,0.152602831,0,0.325219149,0.397768036,0,3.174639231,0,0.667155425,0.574198317,0.391951328,0.884619476,0.684674271,0.667623301,0.526979413,0.586677091,0.658244393,0.466666667,0.914572864,1.186813187,0.829598702,10.5089735,0,2.359909438,8.149064066,52.85481652,0,6.404315585,8.005394481,51.23452468,6.404315585,-99999,0,0,-99999,-99999,-99999,33670,35848,-99999,-99999,0.003112455,0.625,0.003279343,0.731412715,-99999,-99999,-99999,-99999,15,15,10,1,8.666666667,5224.087222,1617686.379
"5","G17020100039031",610809491,"61080-9491",61080,"IL","G17020100039031",172010039031,"23","2",NA,"Match",89742,1.7201e+11,1.7201e+11,"17","201","003903",1,466,"Rockford-Freeport-Rochelle, IL",40420,"Rockford, IL",339780,141325,153746,4717.243029,0.0054362,4717.237593,4717.237593,1726,566,566,0.552,0,0,36,0.06360424,530,0.93639576,788,156,176,456,0.197969543,234,7,1,186,28,12,7,1,186,28,12,0,0,0,33,102,99,0.141025641,0.119985476,0.365892107,0.049605303,0.001483919,0.000211988,0.039429856,0.005935677,0.002543862,0.001483919,0.000211988,0.039429856,0.005935677,0.002543862,0,0,0,0.169590779,0,0.413427562,0.445593488,0.445593488,0.445593488,0.34487868,0.454381773,0.467440951,0.424428435,0.104918233,0.23877551,0.457925636,3.367521368,0.093712718,4.193160018,1.50996342,1.412128753,1.271067846,4.931564192,1.899416729,2.442107223,0.135672624,3.934506082,0.542690494,-99999,0,0,-99999,-99999,-99999,22572,26497,-99999,-99999,0.002086556,0.418993169,0.002423922,0.540622705,-99999,-99999,-99999,-99999,9,5,4,1,4,17356.83427,19090416.43
"6","G27005500209002",55974,"55974",55974,"MN","G27005500209002",270550209002,"67","9",NA,"Match",129112,2.7055e+11,2.7055e+11,"27","055","020900",2,NA,"",29100,"La Crosse-Onalaska, WI-MN",136513,77745,68097,39050.06204,73.0701881,38976.99185,38976.99185,1337,609,576,0.503,60,0.104166667,156,0.270833333,360,0.625,682,192,241,249,0.281524927,494,48,12,200,195,39,48,10,200,63,39,0,132,2,192,154,148,0.388663968,0.015624602,0.034302288,0.012674144,0.001231496,0.000307874,0.005131232,0.005002952,0.00100059,0.001231496,0.000256562,0.005131232,0.001616338,0.00100059,0,0.003386613,5.13e-05,0.028298746,0,0.857638889,0.776843152,0.776843152,0.775771193,0.725955026,0.707371873,0.705537716,0.729961576,0.731724816,0.539595849,0.840136054,1.380566802,0.683473905,2.195063322,0.308370348,1.505899988,0.380792985,1.692042327,0.558278076,1.724094057,0.065679774,0.640377793,0.04925983,-99999,0,0,-99999,-99999,-99999,3219,3008,-99999,-99999,0.001688075,0.101504115,0.002147694,0.14734264,-99999,-99999,-99999,-99999,16,16,2,1,6.333333333,59156.82644,158033450.6
"7","G55000109507003",539658513,"53965-8513",53965,"WI","G55000109507003",550019507003,"52","4",NA,"Match",215926,5.5002e+11,5.5002e+11,"55","001","950700",3,NA,"",NA,"",0,0,0,18467.50628,661.9996796,17805.5066,17805.5066,1532,990,612,0.583,26,0.04248366,134,0.218954248,452,0.738562092,668,205,271,192,0.306886228,1126,17,8,51,66,984,17,3,51,65,984,0,1,5,436,485,205,0.387211368,0.055600777,0.086040798,0.063238863,0.000954761,0.000449299,0.002864282,0.003706718,0.055263803,0.000954761,0.000168487,0.002864282,0.003650556,0.055263803,0,5.62e-05,0.000280812,0.11883964,0,1.839869281,0.324769577,0.324769577,0.273393357,0.255837396,0.55107536,0.33929392,0.369585026,0.427446376,0,0,0.593250444,0.665810918,2.763564244,0.59223053,1.922249489,0.249084225,2.469240612,1.150205971,3.019290673,0.287551493,0.251607556,0,-99999,0,0,-99999,-99999,-99999,3487,2611,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,12,3,3,1,3.833333333,36927.94282,74736967.86
"8","G55001909502004",54498,"54498",54498,"WI","G55001909502004",550199502004,"86","9",NA,"Match",215192,5.502e+11,5.502e+11,"55","019","950200",4,NA,"",NA,"",0,0,0,4021.112168,62.6121748,3958.499993,3958.499993,919,431,391,0.567,19,0.04859335,127,0.324808184,245,0.626598465,308,71,114,123,0.230519481,600,57,25,362,102,54,57,11,362,12,54,75,15,14,139,170,291,0.231666667,0.108879626,0.232158646,0.151572566,0.014399394,0.006315524,0.091448781,0.025767336,0.013641531,0.014399394,0.00277883,0.091448781,0.003031451,0.013641531,0.018946571,0.003789314,0.003536693,0.260452192,0,1.534526854,0.732454894,0.732454894,0.642759622,0.642759622,0.772686456,0.826414757,0.827654908,0.650933009,0,0,0.513333333,0.614671889,4.466953715,0.995228734,1.148442816,2.323282164,9.326684367,1.45509663,1.45509663,0.48503221,8.407224974,2.263483647,-99999,0,0,-99999,-99999,-99999,2672,2529,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,18,13,5,1,7.166666667,20324.25285,16273206.58
"9","G55001909507003",544562162,"54456-2162",54456,"WI","G55001909507003",550199507003,"94","10",NA,"Match",215212,5.502e+11,5.502e+11,"55","019","950700",3,NA,"",NA,"",0,0,0,176.0258857,5.6230076,170.4028781,154.55222,703,342,316,0.596,23,0.07278481,165,0.522151899,128,0.405063291,290,105,90,95,0.362068966,780,12,698,17,33,20,12,1,17,15,20,3,15,697,143,345,292,0.183333333,2.212844306,4.548624407,5.046837891,0.07764366,4.516272882,0.109995185,0.213520065,0.1294061,0.07764366,0.006470305,0.109995185,0.097054575,0.1294061,0.019410915,0.097054575,4.509802577,7.259682197,0,2.46835443,0.294982283,0.294982283,0.251981073,0.251981073,0.523795301,0.760902928,0.833238257,0.8295262,0,0,0.371794872,0.533548593,19.56442615,0,0,19.56442615,103.9381506,0,0,0,82.62771238,48.82546641,-99999,0,0,-99999,-99999,-99999,3097,2474,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,11,3,15,1,7.666666667,5707.094865,712365.7985
"10","G55002109708001",535551145,"53555-1145",53555,"WI","G55002109708001",550219708001,"35","2",NA,"Match",213272,5.5022e+11,5.5022e+11,"55","021","970800",1,357,"Madison-Janesville-Beloit, WI",31540,"Madison, WI",647281,389187,345594,10254.0703,15.2450816,10238.82522,9995.7218,2035,864,798,0.576,17,0.021303258,145,0.181704261,636,0.796992481,958,216,243,499,0.225469729,415,100,58,90,141,26,100,12,90,10,26,52,79,46,143,125,147,0.344578313,0.086436979,0.203587099,0.041517762,0.01000428,0.005802482,0.009003852,0.014106035,0.002601113,0.01000428,0.001200514,0.009003852,0.001000428,0.002601113,0.005202226,0.007903381,0.004601969,0.127954742,0,0.520050125,0.925630871,0.925630871,0.894484713,0.894484713,0.643009452,0.687406357,0.73637572,0.912667351,0.33877551,0.604515659,2.308433735,0.270242997,2.447997802,0.823843789,0.994854147,0.629299866,3.147361079,0.812593224,0.687578882,0.125014342,2.812822699,0.687578882,-99999,0,0,-99999,-99999,-99999,22937,22360,-99999,-99999,0.001470024,0.273105041,0.001798399,0.394210257,-99999,-99999,-99999,-99999,15,20,3,1,7.166666667,37738.617,41497651.32
