"","variable","n","min","max","median","q1","q3","iqr","mad","mean","sd","se","ci","MeanSD","range"
"1","ADI_2020state",54,1,10,4,2,7,5,2.965,4.63,3.036,0.413,0.829,"4.63  +/-  3.036","1  -  10"
"2","ADI_2020national",54,13,94,46.5,35,68,33,26.687,51.778,21.621,2.942,5.901,"51.778  +/-  21.621","13  -  94"
"3","NWI",54,2.833,16.667,7.167,5.5,11.667,6.167,3.459,8.509,3.87,0.527,1.056,"8.509  +/-  3.87","2.833  -  16.667"
"4","DistanceTo_UWhospital_miles",52,2.807,146.449,31.334,9.843,56.46,46.616,32.234,44.488,41.28,5.725,11.492,"44.488  +/-  41.28","2.807  -  146.449"
"5","Distance_To_ClosestLiverTxCenter_miles",54,2.807,137.488,31.334,10.258,52.565,42.307,31.735,38.508,33.334,4.536,9.098,"38.508  +/-  33.334","2.807  -  137.488"
"6","Distance_To_GIhepClinic",54,0,37.574,10.699,3.841,15.372,11.531,8.652,11.651,9.048,1.231,2.47,"11.651  +/-  9.048","0  -  37.574"
"7","Age_StudyEntry",54,26,75,55,43,64,21,16.309,53.167,12.863,1.75,3.511,"53.167  +/-  12.863","26  -  75"
"8","BMI_Entry",54,23.7,59,34.6,31.725,40,8.275,5.337,36.306,7.067,0.962,1.929,"36.306  +/-  7.067","23.7  -  59"
"9","SystolicBloodPressure_E",54,107,159,131,122.25,139,16.75,12.602,131.13,11.004,1.498,3.004,"131.13  +/-  11.004","107  -  159"
"10","Fibroscan_kPa_E",19,4.1,66,8.9,5.75,14.15,8.4,5.486,14.626,16.815,3.858,8.105,"14.626  +/-  16.815","4.1  -  66"
"11","FibroscanCAP_E",9,100,374,293,266,342,76,72.647,291.333,85.806,28.602,65.957,"291.333  +/-  85.806","100  -  374"
"12","ASCVD_E",50,0.3,44.5,6.75,2.225,16.2,13.975,7.635,11.624,12.12,1.714,3.444,"11.624  +/-  12.12","0.3  -  44.5"
"13","FIB-4_E",54,0.37,9,1.235,0.71,2.778,2.068,0.882,2.1,2.027,0.276,0.553,"2.1  +/-  2.027","0.37  -  9"
"14","AST_E",54,12,149,46,31.25,56.75,25.5,21.498,48.963,28.788,3.918,7.858,"48.963  +/-  28.788","12  -  149"
"15","ALT_E",54,11,194,68.5,40.25,89.5,49.25,40.771,71.296,42.846,5.831,11.695,"71.296  +/-  42.846","11  -  194"
"16","PLt_E",54,57,540,207.5,166,259.5,93.5,74.871,210.222,86.587,11.783,23.634,"210.222  +/-  86.587","57  -  540"
"17","Ferritin_E",41,4,674,120,47,207,160,114.16,149.049,138.138,21.574,43.602,"149.049  +/-  138.138","4  -  674"
"18","Albumin_E",45,2.5,4.5,4,3.7,4.1,0.4,0.297,3.904,0.375,0.056,0.113,"3.904  +/-  0.375","2.5  -  4.5"
"19","TotalChol_E",50,107,306,180.5,151.5,204,52.5,42.254,179.12,40.531,5.732,11.519,"179.12  +/-  40.531","107  -  306"
